Jessica	xnr
睇	v
海	n
啊	y
，	w
睇	v
珊瑚	n
嗰啲	r
嘢	n
囖	y
。	w

哦	e
即係	d
餵	v
佢	r
食	v
嘢	n
嗰啲	r
嚹	y
喎	y
。	w

唔係	v
啊	y
。	w
佢	r
哩個	r
你	r
係	v
○	#
佢	r
嗰	r
隻	q
唔係	v
𡃉	y
佢	r
嗰	r
隻	q
係	v
睇	v
天然	b
嗰啲	r
𡃉	y
喎	y
，	w
唔係	v
人哋	r
養	v
𡃉	y
喎	y
。	w
直頭	d
喺	p
個	q
海	n
你	r
係	v
等	v
佢	r
。	w
即係	d
可能	vu
嗰個	r
時期	n
係	v
一	m
群	q
噉	r
出來	v
呢	y1
，	w
所以	c
有	v1
時間	n
性	k
囖	y
。	w
你	r
要	vu
睇	v
啱	a
邊個	r
時間	n
去	v
，	w
先至	d
有得	vu
睇	v
𡃉	y
。	w
唔係	v
你	r
要	vu
去	v
就	d
有得	vu
睇	v
𡃉	y
嚹	y
。	w

哦	e
，	w
即係	c
睇	v
下	u
你	r
幾時	r
去	v
，	w
又	d
撞	v
啱	a
有	v1
啲	q
團	n
，	w
噉	c
先	d
有得	vu
參加	v
囖	y
。	w
係	v
唔係	v
啊	y
?	w

但係	c
我	r
唔	d
知	v
邊個	q
月份	n
係	v
睇	v
鯨魚	n
最	d
好	a
囖	y
。	w

算	v
喇	y
。	w
我	r
對	p
鯨魚	n
都	d
冇乜	r
興趣	n
。	w

啊	e
，	w
我	r
想	vu
睇	v
下	u
喎	y
。	w

係	v
咩	y
？	w

係	v
喲	y
。	w
因為	c
未	d
見	v
過	u
咁	d
大	a
條	q
鯨魚	n
吖	y
嗎	y
。	w

咬	v
唔	d
咬	v
人	n
𡃉	y
？	w

噉	c
我	r
諗	v
我	r
諗	v
即係	d
遠	a
觀	v
𡃉	y
吖	y
嗎	y
。	w

有冇	v1
危險	n
𡃉	y
？	w
大佬	n
。	w

噉	c
唔同	v
睇	v
香港	ns
嗰啲	q
海洋公園	nt
嗰啲	r
，	w
都	d
係	v
細	a
吖	y
嗎	y
屬於	v
。	w

噉	c
就	d
係	v
，	w
吓	e
？	w
海洋公園	nt
嗰啲	r
屬於	v
細	a
呀	y
?	w
嗰啲	r
大	a
成	u
點	r
啊	y
？	w

唔	d
知	v
喲	y
。	w
有時	d
睇	v
即係	d
睇	v
佢	r
嗰啲	r
catalog	xn
嗰啲	r
圖片	n
呢	y1
，	w
嗰	r
條	q
尾	n
都	d
好	d
大	a
條	q
𡃉	y
喎	y
。	w

條	q
尾	n
都	d
發	v
死	v
人	n
喇	y
，	w
係	v
唔係	v
啊	y
？	w

就	d
係	v
想	vu
去	v
睇	v
下	u
啲	q
咁	d
，	w
即係	d
天然	b
嘅	u
嘢	n
囖	y
。	w

但	c
會	vu
唔	d
會	vu
好	d
貴	a
啊	y
睇	v
哩啲	r
？	w
貴	a
唔	d
貴	a
？	w

噉	c
唔	d
知	v
啊	y
。	w
價錢	n
唔	d
知	v
啊	y
。	w
睇	v
下	u
到時	t
去	v
先至	d
-	w
唔係	v
喇	y
，	w
去	v
先至	d
check	xv
價錢	n
啊	y
嗰啲	r
嘢	n
囖	y
。	w

不過	c
唔緊要	l
喇	y
。	w
噠	v
你	r
老公	n
個	q
朵	n
。	w
幾時	r
度	m
有得	vu
睇	v
唧	y
噉	r
哩啲	r
，	w
知	v
唔	d
知	v
大概	d
？	w

我	r
唔	d
知	v
𡃉	y
。	w
我	r
唔	d
知	v
個	q
月份	n
係	v
幾時	r
啊	y
。	w
但	c
我	r
知	v
有	v1
哩啲	r
嘢	n
睇	v
。	w

係	v
咩	y
?	w
我	r
又	d
唔係	v
好	d
知	v
喎	y
。	w

但係	c
睇	v
好似	v
如果	c
照	v
哩啲	r
報紙	n
噉	r
影	v
出來	v
，	w

應該	vu
係	v
夏天	t
噉	r
嘅	u
氣候	n
，	w
係	v
喇	y
。	w

季節	n
。	w

都	d
應該	vu
係	v
喇	y
。	w
你	r
喺	p
個	q
海	n
嗰度	r
你	r
梗係	d
着	v
泳褲	n
喇	y
，	w
唔係	v
着	v
乜嘢	r
啊	y
。	w

所以	c
走去	v
澳洲	ns
好	a
呢	y
。	w
冬	Tg
-	w
香港	ns
冬天	t
佢	r
夏天	t
吖	y
嗎	y
，	w
可以	vu
即係	d
，	w

噉	c
𠻺	d
係	v
。	w

避	v
-	w
避	v
寒	a
呀	y
。	w
唔使	vu
咁	d
凍	a
。	w

都	d
好	d
怪	a
啫	y
，	w
如果	c
你	r
十二月	t
去	v
，	w
即係	d
點	v
啊	y
，	w
夏天	t
嘅	u
時侯	n
聖誕節	t
，	w
好似	v
唔係	v
好	d
適應	v
啊	y
，	w
係	v
唔係	v
啊	y
?	w

未	d
-	w
未	d
試	v
過	u
喎	y
，	w
噉	c
又	d
可以	vu
試	v
下	u
喎	y
。	w

真係	d
未	d
試	v
過	u
喎	y
。	w

又	d
可以	vu
試	v
下	u
喎	y
。	w

係	v
囖	y
。	w
未	d
試	v
過	u
聖誕節	t
咁	d
熱辣辣	z
喎	y

真係	d
。	w

咦	e
你	r
重	d
想	vu
去	v
邊	r
吖	y
？	w

我	r
呀	y
，	w
未	d
去	v
過	u
紐西蘭	ns
啊	y
。	w
都	d
想	vu
去	v
啊	y
。	w
好似	v
聽講	v
啲	q
天	n
-	w
嗰度	r
好	d
靚	a
喎	y
。	w
風景	n
又	d
靚	a
。	w

睇	v
風景	n
囖	y
係	v
。	w

係	v
囖	y
，	w
天氣	n
又	d
好	a
喎	y
。	w
係	v
唔係	v
啊	y
？	w

唔	l1
，	w
唔係	v
-	w
唔	d
知	v
。	w
但係	c
如果	c
係	v
你	r
喺	p
澳洲	ns
，	w
即係	d
嗰邊	r
呢	y1
會	vu
好	d
熱	a
𡃉	y
喎	y
。	w
四十幾	m
度	q
喎	y
。	w

澳洲	ns
好	d
熱	a
？	w
幾時	r
啊	y
？	w

如果	c
你	r
係	v
夏天	t
去	v
嗰個	r
時候	n
，	w
即係	d
你	r
都	d
，	w
香港	ns
冬天	t
先	d
去	v
嗰陣時	r
。	w

即係	d
你	r
意思	n
係	v
十二月	t
嗰陣時	r
？	w

係	v
啊	y
，	w
香港	ns
十二月	t
嗰時	r
去	v
，	w
嗰度	r
好	d
熱	a
𡃉	y
喎	y
。	w

係	v
咩	y
？	w

都	d
曬	v
到	p
好	d
犀利	a
𡃉	y
喎	y
。	w
我	r
老公	n
次次	q
返來	v
都	d
黑	a
晒	u
噉	r
。	w

咁	d
緊要	a
呀	y
十二月	t
。	w

係	v
啊	y
，	w
四十幾	m
度	q
𡃉	y
都	d
。	w

嗰陣時	r
聽	v
人	n
講	v
呢	y1
，	w
話	v
澳洲	ns
嗰度	r
呢	y1
，	w
好	d
鬼	d1
多	a
烏蠅	n
𡃉	y
喎	y
。	w
係	v
唔係	v
啊	y
。	w

係	v
啊	y
。	w
佢	r
話	v
好	d
大	a
隻	q
𡃉	y
。	w

我	r
又	d
唔	d
覺	v
喎	y
。	w

我	r
未	d
見	v
過	u
。	w

係	v
咩	y
？	w

唔	d
知	v
喺	p
近住	a
帕斯	ns
定係	c
唔	d
知	v
，	w
我	r
唔記得	v
近住	a
邊度	r
嗰啲	r
係	v
好	d
大	a
隻	q
𡃉	y
	y
。	w

係	v
囖	y
。	w
話	v
烏蠅	n
係	v
噉	r
威	a
，	w
係	v
噉	r
，	w
即係	d
點	r
啊	y
，	w
圍	v
住	u
佢	r
來	vk
追	v
佢	r
追	v
住	u
佢	r
噉樣	r
喎	y
。	w

我	r
老公	n
話	v
都	d
係	v
。	w

係	v
咩	y
？	w

但係	c
我	r
未	d
見	v
過	u
。	w

好彩	a
我	r
未	d
去	v
過	u
帕斯	ns
啫	y
。	w

唔	d
知	v
係	v
唔係	v
帕斯	ns
啊	y
，	w
即係	d
總之	d
係	v
唔	d
知	v
邊個	r
唔	d
知	v
邊個	r
城市	n
係	v
有	v1
啲	q
烏蠅	n
好	d
大	a
隻	q
𡃉	y
。	w

係	v
啊	y
嗰陣	r
聽	v
人	n
講	v
呢	y1
，	w
就	d
係	v
話	v
，	w
嘩	e
啲	q
烏蠅	n
圍	v
住	u
你	r
係噉	d
追	v
住	u
你	r
。	w
好	d
恐怖	a
。	w

噉	c
你	r
重	d
去	v
過	u
邊度	r
？	w

重	d
去	v
過	u
邊度	r
？	w
冇	v1
啊	y
，	w
美國	ns
啊	y
嗰啲	r
喇	y
。	w

喺	p
美國	ns
咪	d
好多	m
嗰啲	r
嗰啲	r
叫做	v
出	v
-	w
嗰啲	r
factory	xn
outlet	xn
呢	y
。	w

冇	v1
喎	y
，	w
冇	v1
乜	r
點	r
去	v
喎	y
。	w

你	r
冇	v1
去	v
行	v
咩	y
？	w

冇	v1
喎	y
，	w
個	q
導遊	n
都	d
冇	v1
帶	v
我地	r
去	v

嗰度	r
買	v
嘢	n
抵	a
啲	u
喎	y
。	w

個	q
導遊	n
都	d
冇	v1
帶	v
我哋	r
去	v
。	w
淨係	d
去	v
啲	q
觀光點	n
嗰啲	r
。	w

哦	e
你	r
跟	v
團	Ng
可能	vu
佢	r
就	d
係	v
去	v
啲	q
旅遊點	n
囖	y
。	w

係	v
吔	y
，	w
冇	v1
啊	y
，	w

但係	c
我	r
-	w
我	r
同	p
我	r
老公	n
通常	d
自己	r
去	v
呢	y1
就	d
好	a
啲	u
囖	y
。	w
就	d
可以	vu
揀	v
地方	n
去	v
囖	y
。	w

啊	e
，	w
啊	e
，	w
噉	r
就	d
梗係	d
喇	y
。	w
你	r
老公	n
成日	d
都	d
去	v
美國	ns
。	w
帶隊	v
嗰啲	r
梗係	d
，	w
帶	v
你	r
去	v
啲	q
重點	n
喇	y
。	w

邊度	r
有	v1
平	a
嘢	n
買	v
，	w
有	v1
抵	a
嘢	n
食	v
。	w

咪	d
係	v
囖	y
。	w
你	r
又	d
鍾意	v
shopping	xn
喎	y
。	w

噉	c
放假	v
最好	d
去	vk
食	v
啊	y1
，	w
玩	v
啊	y1
，	w
買	v
嘢	n
啊	y1
，	w
就	d
最好	d
𡃉	y
喇	y
。	w

係	v
囖	y
。	w
係	v
唔係	v
抵	a
好多	m
𡃉	y
嗰邊	r
?	w
買	v
嘢	n
。	w

嗯	e
，	w
平	a
過	u
香港	ns
好多	m
囖	y
。	w
有	v1
啲	q
真係	d
起碼	d
半價	b
啊	y
。	w

半價	b
呀	y
?	w

係	v
啊	y
。	w

咪	d
帶	v
定	d
幾	m
個	q
喼	n
去	v
？	w

通常	d
如果	c
諗	v
住	u
要	vu
shopping	xv
就	d
係	v
𡃉	y
喇	y
。	w
我	r
帶	v
啲	q
吉	a
喼	n
去	v
𡃉	y
喇	y
。	w

喂	e
，	w
係	v
喎	y
！	w
講	v
起	u
我	r
琴日	t
買	v
咗	u
隻	q
碟	n
啊	y
，	w
買	v
咗	u
陳	nr
潔儀	nr
啊	y
，	w
有冇	v1
聽	v
啊	y
？	w
陳	nr
潔儀	nr
呢	y1
，	w
有	v1
隻	q
廣東	ns
-	w
國語	n
碟	n
呢	y1
，	w
收音機	n
早排	t
播	v
《	w
昨天	t
》	w
吖	y
嗎	y
。	w
嘩	e
！	w
幾	d
正	a
啊	y
。	w

麻麻哋	z
喇	y
，	w
唔	d
…	w

不過	c
好	d
貴	a
啊	y
，	w
我	r
覺得	v
。	w
即係	c
而家	t
買	v
碟	n
買	v
成	m
一百	m
蚊	q
買	v
一	m
隻	q
碟	n
喎	y
。	w

係	v
喇	y
。	w
我	r
問	v
你	r
嗰	r
隻	q
碟	n
有	v1
幾	r
-	w
有	v1
幾多	r
首	q
歌	n
你	r
係	v
鍾意	v
吖	y
？	w

有	v1
啊	y
，	w
都	d
有	v1
兩	m
三	m
首	q
喇	y
。	w

但係	c
裏面	f
成	m
十	m
幾	m
首	q
先	d
得	v
嗰	r
兩	m
三	m
首	q
你	r
係	v
鍾意	v
，	w
跟住	c
嘥	v
成	m
百	m
幾	d
蚊	q
去	v
買	v
一	m
隻	q
碟	n
。	w

噉	c
𠻺	d
係	v
啊	y
。	w

其實	d
你	r
覺	g1
唔	d
覺得	v
而家	t
百	m
幾	m
蚊	q
一	m
隻	q
碟	n
真係	d
貴	a
咗	u
啲	u
呢	y
？	w

哩樣	r
嘢	n
，	w
不嬲	d
𡃉	y
喇	y
。	w

噉	c
𠻺	d
，	w
哩樣	r
嘢	n
不嬲	d
𡃉	y
喇	y
，	w
冇	v1
辦法	n
吖	y1
但係	c
，	w
好聽	a
吖	y
嗎	y
，	w
始終	d
即係	c
為咗	p
嗰	r
幾	m
首	q
歌	n
…	w

係	v
啊	y
！	w
你	r
唔	d
買	v
又	d
覺得	v
成日	d
心思思	z
…	w

係	v
呃	y
。	w

好似	v
好	d
瞓	v
唔	d
安	a
…	w

吓吓	q
？	w

好	d
唔	d
安樂	a
，	w
瞓	v
唔	d
着	u
覺	Ng
噉	c
喎	y
。	w

聽	v
下	u
-	w
唔	d
知	v
啊	y1
，	w
覺得	v
好聽	a
𠻺	d
聽	v
，	w
不過	c
都	d
係	v
聽	v
一	m
輪	q
嘅	y
但係	c
。	w

嗯	e
嗯	e
。	w

啊	e
，	w
你哋	r
有冇	v1
買	v
翻版	n
CD	xn
𡃉	y
講	v
起	v
？	w

我	r
買	v
𡃉	y
，	w
我	r
屋企	n
大部份	m
CD	xn
都	d
係	v
翻版	n
。	w

嘩	e
！	w
你	r
唔	d
覺得	v
好	d
對	p
嗰個	r
出版商	n
唔	d
公平	a
𡃉	y
咩	y
？	w

唔係	v
𠸏	y
，	w
噉	c
即係	c
個	q
價錢	n
相差	v
得	u
太	d
遠	a
喇	y
。	w
你	r
一百	m
蚊	q
一	m
隻	q
正版	n
嘅	u
CD	xn
，	w
我	r
一百	m
蚊	q
三	m
隻	q
喎	y
。	w
同埋	c
翻版	n
CD	xn
有	v1
-	w
有	v1
佢	r
自己	r
好多	m
好處	n
𠸏	y
。	w

有	v1
乜嘢	r
好處	n
啊	y
？	w

嗱	e
，	w
翻版	n
CD	xn
同	p
正版	n
CD	xn
嘅	u
質素	n
，	w
根本	d
呢	y1
你	r
-	w
如果	c
我哋	r
買	v
呢	y1
，	w
根本	d
聽	v
唔	d
出	v
個	q
分別	n
喺	p
邊	r
。	w

你	r
有冇	v1
跳	v
到	u
啊	y1
…	w
啲	q
針	n
？	w

未	d
試	v
過	u
。	w

會	vu
唔	d
會	vu
跳	v
啲	q
歌詞	n
，	w
突然間	d
聽	v
聽	v
下	u
冇	v1
噉樣	c
啊	y
？	w

噉	c
哩個	r
情況	n
𠻺	d
未	d
出現	v
過	u
喎	y
。	w

哩個	r
情況	n
普通	a
啊	y1
，	w
你	r
正常	a
，	w
即係	c
正版	n
碟	n
都	d
有	v1
可能性	n
會	vu
出現	v
喇	y
。	w

噉	c
即係	c
唔	d
可以	vu
保証	v
…	w

噉	c
即係	c
你哋	r
都	d
贊成	v
買	v
CD	xn
，	w
買	v
翻版	n
CD	xn
喇	y
？	w

噉	c
我	r
又	d
唔係	v
喎	y
。	w

我	r
覺得	v
K	xnr
講得	n
好	d
啱	a
，	w
但係	c
我	r
，	w
即係	c
我	r
知道	v
哩樣	r
嘢	n
係	v
唔	d
啱	a
𠸏	y1
，	w
所以	c
我	r
都	d
唔	d
會	vu
做	v
。	w

嗯	e
嗯	e
。	w

即係	c
覺得	v
對	p
個	q
出版	vn
-	w
我	r
覺得	v
對	v
嗰個	r
-	w
對	v
唱	v
嗰個	r
好	d
-	w
賺	v
少	a
啲	u
。	w

同埋	c
唱片	n
公司	n
都	d
係	v
喇	y
。	w

係	v
呃	y
，	w
好	d
唔	d
抵	a
囖	y
，	w
所以	c
我	r
都	d
捨得	v
𠸏	y
。	w

噉	c
𠻺	d
係	v
。	w

所以	c
我	r
都	d
-	w
不過	c
我	r
都	d
唔	d
會	vu
買	v
太	d
多	a
正版	n
囖	y
，	w
真係	d
好	d
貴	a
，	w
噉樣	c
你	r
一百	m
蚊	q
係	v
買	v
到	u
三	m
隻	q
翻版	n
都	d
係	v
𠸏	y
。	w

同埋	c
其實	d
部	q
機	n
聽	v
得	u
多	a
呢	y1
係	v
真係	d
會	vu
唔係	v
咁	d
好	a
𠸏	y
。	w

點	r
唔	d
好	a
啊	y
？	w

誒	e
，	w
部	q
機	n
會	vu
唔	d
知	v
啊	y
，	w
覺得	v
好似	v
會	vu
個	q
磁頭	n
會	vu
好	d
傷	v
囖	y
。	w
有時	d
聽	v
返	u
啲	q
正版	n
呢	y1
，	w
都	d
會	vu
可能	vu
因為	c
個	q
磁頭	n
傷	v
呢	y1
，	w
會	vu
啲	q
音質	n
冇	v1
咁	d
好	a
囖	y
。	w

你	r
覺	v
唔	d
覺	v
啊	y
？	w

我	r
就	d
唔	d
覺	v
嘞	y
。	w
因為	c
我	r
幾	d
多	a
翻版	n
CD	xn
喇	y
，	w
噉	c
正版	n
都	d
有	v1
，	w
我	r
買	v
正版	n
嗰啲	r
即係	c
除非	c
隻	q
碟	n
真係	d
好	d
好聽	a
啊	y1
，	w
嗰啲	r
或者	c
自己	r
真係	d
好	d
鍾意	v
啊	y1
，	w
噉	c
先至	d
會	vu
買	v
正版	n
喇	y
，	w
噉	c
其他	r
就	d
會	vu
買	v
翻版	n
。	w

噉	c
其他	r
嗰啲	r
可以	vu
問	v
人	n
借	v
𡃉	y
啫	y
，	w
唔	d
一定	d
要	vu
買	v
𡃉	y
啫	y
。	w

噉	c
始終	d
而家	t
大部份	m
人	n
都	d
係	v
聽	v
CD	xn
𡃉	y
喇	y
，	w
噉樣	c
成日	d
借	v
，	w
好似	v
唔係	v
咁	d
方便	a
。	w
同埋	c
翻	Ng
-	w
翻版	n
CD	xn
又	d
真係	d
平	a
啲	u
喇	y
，	w
同埋	c
又	d
多	a
啲	u
喎	y
。	w

噉	c
𠻺	d
係	v
。	w

譬如	v
呢	y1
如果	c
一	m
隻	q
正版	n
嘅	u
CD	xn
十	m
隻	q
歌	n
，	w
可能	vu
得	v
兩	m
隻	q
好聽	a
，	w
但係	c
翻版	n
有	v1
十五	m
隻	q
，	w
噉	c
加	v
埋	u
嗰	r
兩	m
隻	q
，	w
都	d
有	v1
七	m
隻	q
好聽	a
喎	y
，	w
噉	c
同埋	c
又	d
平	a
咁	d
多	a
呢	y
，	w
噉	c
都	d
幾	d
吸引	v
，	w
同埋	c
我	r
-	w
係	v
喇	y
。	w

同埋	c
係	v
可能	vu
太	d
普遍	a
喇	y
真係	d
。	w
差唔多	d
而家	t
周街	n
都	d
見	v
到	u
有得	vu
賣	v
，	w
好似	v
等	v
住	u
你	r
去	v
買	v
噉	y
。	w

噉	c
𠻺	d
係	v
。	w

其實	d
除咗	p
貴	a
之外	f
，	w
係	v
唔係	v
-	w
誒	e
，	w
關	v
唔	d
關	v
，	w
誒	e
，	w
嗰啲	r
CD	xn
嘅	u
…	w

CD	xn
乜嘢	r
啊	y
？	w

係	v
囖	y
，	w
佢哋	r
嘅	u
質數	n
係	v
因為	c
差唔多	d
，	w
但係	c
價錢	n
爭	v
咁	d
遠	a
。	w

即係	c
你	r
係	v
唔係	v
-	w
哦	e
！	w
你	r
意思	n
係	v
唔係	v
話	v
即係	c
通常	d
呢	y1
，	w
啲	q
翻版	n
CD	xn
會	vu
出	v
啲	q
雜錦	a
𡃉	y
，	w
即係	c
譬如	v
頭	a
-	w
誒	e
，	w
佢	r
過去	v
嗰	r
五	m
隻	q
碟	n
𠸏	y1
，	w
好	a
歌	n
都	d
擺	v
晒	u
落	v
一	m
隻	q
度	f
吖	y
嗎	y
，	w
你	r
意思	n
係	v
？	w

𠻺吓	e
。	w

哦	e
，	w
噉	c
哩個	r
可能	vu
係	v
其中	r
一	m
個	q
因素	n
喇	y
。	w

噉	c
哩樣	r
嘢	n
都	d
吸引	v
唔	d
少	a
人	n
買	v
喇	y
自然	a
。	w

不過	c
我	r
覺得	v
其實	d
每	r
個	q
人	n
觀點	n
角度	n
都	d
唔同	d
𠸏	y
，	w
即係	c
有	v1
啲	m
人	n
覺得	v
，	w
邊	r
一	m
樣	q
嘢	n
值得	v
囖	y
。	w
有	v1
啲	m
人	n
可能	vu
覺得	v
，	w
佢	r
嗰個	r
偶像	n
好	d
值得	v
，	w
即係	c
好	d
值得	v
佢	r
去	v
使	v
好多	m
錢	n
買	v
佢	r
啲	q
碟	n
嘅話	c
，	w
噉	c
佢	r
都	d
會	vu
買	v
返	u
正版	n
𠸏	y
。	w

嗯	e
。	w
喂	e
！	w
我	r
阿妹	n
啊	y
。	w

基本上	d
如果	c
要	vu
，	w
誒	e
，	w
啲	q
翻版	n
CD	xn
唔	d
再	d
出現	v
呢	y1
，	w
其實	d
唔係	v
淨係	d
話	v
即係	c
啲	q
市民	n
買	v
唔	d
買	v
翻版	n
CD	xn
哩個	r
問題	n
啊	y
我	r
覺得	v
。	w
如果	c
兩	m
隻	q
CD	xn
係	v
差唔多	d
，	w
但係	c
一	m
隻	q
一百	m
蚊	q
，	w
一	m
隻	q
三十	m
蚊	q
呢	y1
，	w
噉	c
其實	d
真係	d
好	d
難	a
話	v
叫	v
人哋	r
，	w
你	r
唔好	vu
買	v
隻	q
一百	m
蚊	q
同	p
隻	q
三十	m
蚊	q
嘅	u
冇	v1
乜	r
分別	n
嘅	u
CD	xn
。	w

噉	c
但係	c
問題	n
哩樣	r
嘢	n
又	d
有	v1
，	w
其實	d
係	v
有	v1
啲	m
唔	d
啱	a
，	w
係	v
有	v1
啲	m
犯法	v
𡃉	y
嗎	y
。	w

係	v
啊	y
，	w
我	r
都	d
覺得	v
係	v
啊	y
。	w
其實	d
最	d
慘	a
係	v
嗰啲	r
唱歌	v
嗰啲	r
出來	v
自己	r
又	d
賺	v
少	a
咗	u
，	w
噉	c
𠻺	d
俾	v
人哋	r
攞	v
咗	u
個	q
功勞	n
噉樣	c
。	w

係	v
囖	y
。	w

不過	c
見	v
就	d
各	r
人	n
有	v1
各	r
人	n
嘅	u
意見	n
𠸏	y
。	w

不過	c
其實	d
哩啲	r
呢	y1
，	w
通常	d
都	d
係	v
啲	q
靚仔	n
鍾意	v
做	v
嘅	u
啫	y
，	w
即係	c
靚仔	n
特別	d
鍾意	v
做	v
囖	y
。	w

哦	e
！	w
噉	c
因為	c
其	r
-	w
佢哋	r
未	d
夠	v
十六	m
歲	q
嗰啲	r
呢	y1
，	w
賣	v
哩啲	r
都	d
唔	d
會	vu
話	v
拉去	v
坐監	v
吖	y
嗎	y
。	w
噉	c
所以	c
咪	d
變	v
咗	u
大部份	m
都	d
係	v
啲	q
靚仔	n
做	v
囖	y
。	w

係	v
囖	y
，	w
而家	t
啲	q
靚仔	n
呢	y1
真係	d
好似	v
都	d
唔	d
識	v
死	v
噉	c
𠸏	y
。	w
即係	c
知道	v
佢	r
都	d
即係	c
會	vu
不惜	v
自己	r
一切	m
呢	y1
去	v
做	v
佢哋	r
好多	m
唔	d
啱	a
嘅	u
事	n
啊	y
。	w

其實	d
已經	d
即係	c
叫做	v
好	d
-	w
哩啲	r
-	w
哩	r
-	w
哩	r
-	w
哩啲	r
賣	v
CD	xn
嗰啲	r
靚仔	n
已經	d
叫做	v
比較	d
好	a
𡃉	y
嚹	y
，	w
因為	c
佢哋	r
做	v
哩啲	r
呢	y1
，	w
即係	c
起碼	d
雖然	c
係	v
犯法	v
，	w
但係	c
都	d
唔	d
會	vu
話	v
傷害	v
到	d
人哋	r
啊	y
嗰啲	r
噉樣	r
樣	n
嗰啲	r
嘢	n
囖	y
。	w
喀	e
喀	e
。	w

佢哋	r
唔係	v
賣淫	v
嗰啲	r
囖	y
。	w
我	r
又	d
未	d
聽	v
過	u
你	r
爆粗	v
𡃉	y
喎	y
。	w

但係	c
同	p
我哋	r
以前	t
嗰	r
輩	q
比	v
啊	y1
，	w
就	d
爭	v
得	u
遠	a
囖	y
。	w

係	v
啊	y
，	w
哩樣	r
又	d
真	a
啊	y
。	w

我哋	r
以前	t
咁	d
純	a
，	w
又	d
乖	a
又	d
成日	d
讀書	v
，	w
而家	t
嗰啲	r
都	d
唔係路	l
𠸏	y
啲	q
靚仔	n
，	w
成日	d
都	d
喺	p
條	q
街	n
度	f
賣	v
翻版	n
CD	xn
喺度	p
嗌	v
。	w

喀	e
係	v
喇	y
成日	d
…	w

會	vu
唔	d
會	vu
呢	y1
係	v
因為	c
佢哋	r
冇	v1
乜	r
其他	r
途徑	n
去	v
揾錢	v
呢	y
，	w
即係	c
所以	c
…	w

我	r
覺得	v
一定	d
係	v
啊	y
我	r
覺得	v
，	w
佢哋	r
一定	d
為	v
錢	n
。	w

噉	c
…	w

其實	d
佢	r
揾錢	v
個	q
目的	n
都	d
係	v
買	v
名牌	an
啊	y1
，	w
乜	r
乜	r
乜	r
乜	r
衫	n
啊	y1
，	w
靚	a
衫	n
啊	y1
、	w
靚	a
袋	n
啊	y1
，	w
嗰啲	r
噉	r
嘅	u
嘢	n
啫	y
嗎	y
。	w

係	v
囖	y
，	w
同埋	c
同	p
人	n
比	v
囖	y
。	w
可能	vu
佢	r
覺得	v
…	w

而家	t
個個	q
都	d
…	w

佢	r
覺得	v
身邊	f
啲	q
人	n
呢	y1
，	w
有	v1
好多	m
-	w
即係	c
有	v1
名牌	an
啊	y1
，	w
又	d
出來	v
玩	v
啊	y1
，	w
如果	c
人哋	r
叫	v
佢	r
又	d
唔	d
衰	a
得	u
啊	y1
，	w
又	d
唔	d
可以	vu
唔	d
應承	v
啊	y
嗰啲	r
囖	y
。	w

噉	c
年青人	n
啊	y1
，	w
即係	c
出來	v
玩	v
嗰啲	r
，	w
實	d
有	v1
𡃉	y
嚹	y
，	w
噉	c
會	vu
唔	d
會	vu
係	v
即係	c
-	w
因為	c
哩個	r
社會	n
冇	v1
乜	r
其他	r
即	c
-	w
即係	c
機會	n
俾	v
佢哋	r
做	v
下	u
part-time	xn
啊	y
賺	v
下	u
錢	n
嗰啲	r
噉樣	c
…	w

嘩	e
！	w
咁	d
細個	a
根本	d
就	d
唔	d
需要	vu
咁	d
-	w
點	r
做	v
part-time	xn
啊	y
？	w
有	v1
啲	m
都	d
未必	d
夠	v
-	w
未必	d
夠	v
十五	m
歲	q
啊	y1
，	w
噉	c
佢哋	r
做	v
埋	u
part-time	xn
，	w
噉	c
佢哋	r
譬如	v
佢哋	r
就算	c
有得	vu
做	v
part-time	xn
都	d
係	v
麥當勞	nt
啊	y1
，	w
啲	q
幾	m
蚊	q
一	m
個	q
鐘	n
啊	y1
嗰啲	r
噉	r
啊	y
都	d
唔	d
夠	v
賺	v
埋	u
賺	v
埋	u
都	d
唔	d
夠	v
佢	r
買	v
一	m
個	q
袋	n
喇	y
。	w

噉	c
𠻺	d
係	v
。	w

不過	c
佢哋	r
而家	t
樣樣	q
都	d
崇尚	v
名牌	an
噉樣	c
冇得	vu
講	v
喎	y
。	w

即係	c
哩個	r
風氣	n
係	v
應該	vu
唔	d
關	v
細路仔	n
事	n
，	w
係	v
大人	n
即係	c
…	w

大人	n
整	v
出來	v
𡃉	y
咩	y
？	w

大人	n
做	v
出來	v
𡃉	y
我	r
覺得	v
。	w

噉	c
如果	c
你	r
一	m
句	q
、	w
佢	r
一	m
句	q
最後	t
又	d
係	v
你	r
嘅	u
責任	n
推	v
去	p
社會	n
𡃉	y
喇	y
，	w
你	r
話	v
係	v
，	w
其實	d
哩個	r
係	v
社會	n
嘅	u
錯	a
噉	c
𡃉	y
喇	y
，	w
噉	c
其實	d
都	d
